y,x,delta,overlap_pct,psnr,ssim,mae,rmse
1184,1120,16,50.00000,29.99553,0.74140,5.94706,8.06796
1216,64,16,50.00000,29.98713,0.86221,6.03505,8.07576
1248,1120,16,50.00000,27.63366,0.68674,7.43534,10.58905
1312,1280,16,50.00000,25.81606,0.61346,9.94204,13.05381
1344,384,16,50.00000,29.94512,0.69890,5.82369,8.11492
1376,864,16,50.00000,23.38441,0.70324,11.26913,17.27109
1376,1376,16,50.00000,25.44281,0.57210,9.81913,13.62698
1408,640,16,50.00000,31.56971,0.74585,5.08861,6.73061
1408,1248,16,50.00000,27.93975,0.65778,7.34361,10.22240
1472,1344,16,50.00000,24.47854,0.62663,10.91269,15.22697
1536,352,16,50.00000,29.52720,0.68519,6.38345,8.51492
1568,1312,16,50.00000,29.77162,0.76397,5.80723,8.27864
1632,640,16,50.00000,31.86551,0.77132,4.77042,6.50526
32,192,19,40.62500,26.76358,0.64778,8.15106,11.70472
32,1152,19,40.62500,27.34072,0.58376,8.39397,10.95227
64,192,19,40.62500,29.37337,0.81185,5.37810,8.66706
64,992,19,40.62500,28.61454,0.64830,7.57009,9.45831
96,96,19,40.62500,26.03597,0.68084,8.04456,12.72746
128,1088,19,40.62500,26.09100,0.72983,10.49361,12.64707
160,160,19,40.62500,27.33278,0.61737,8.35793,10.96229
160,768,19,40.62500,20.82449,0.56489,16.95607,23.19080
288,1120,19,40.62500,28.15182,0.61858,7.62789,9.97583
288,1280,19,40.62500,25.89350,0.57668,9.83988,12.93794
448,736,19,40.62500,25.83415,0.68059,8.84126,13.02665
480,32,19,40.62500,23.01878,0.60948,13.07203,18.01363
512,384,19,40.62500,32.48414,0.79822,4.64734,6.05805
512,640,19,40.62500,25.31772,0.65970,9.95223,13.82465
640,1344,19,40.62500,27.89063,0.71732,7.51343,10.28036
704,768,19,40.62500,25.91380,0.83828,7.45337,12.90774
800,736,19,40.62500,21.36296,0.58470,15.88859,21.79677
832,512,19,40.62500,25.08636,0.66767,10.02225,14.19784
832,896,19,40.62500,21.57565,0.60410,15.45683,21.26951
896,640,19,40.62500,26.68781,0.63191,8.42681,11.80728
896,800,19,40.62500,29.64775,0.83427,5.14563,8.39755
928,160,19,40.62500,22.98124,0.51754,13.49680,18.09164
928,416,19,40.62500,24.32315,0.54561,10.81195,15.50183
992,800,19,40.62500,26.73333,0.69008,8.33435,11.74556
1024,1280,19,40.62500,21.91762,0.46741,15.52103,20.44839
1056,960,19,40.62500,26.76351,0.64542,8.86165,11.70482
1088,1312,19,40.62500,31.14570,0.76076,5.55544,7.06733
