y,x,delta,overlap_pct,psnr,ssim,mae,rmse
1344,384,26,18.75000,23.84892,0.54209,11.48954,16.37172
1376,864,26,18.75000,25.91088,0.61505,10.12591,12.91207
1376,1376,26,18.75000,26.05932,0.49460,10.02466,12.69329
1408,640,26,18.75000,34.24594,0.87265,3.69419,4.94588
1408,1248,26,18.75000,26.63111,0.54857,8.56911,11.88460
1472,1344,26,18.75000,25.00450,0.62736,8.90073,14.33227
1536,352,26,18.75000,30.96702,0.68145,5.61484,7.21421
1568,1312,26,18.75000,26.70740,0.63202,7.35533,11.78067
1632,640,26,18.75000,28.81679,0.53692,7.14709,9.24062
32,192,29,9.37500,26.64415,0.79356,10.60365,11.86677
32,1152,29,9.37500,24.41402,0.55177,12.85514,15.34048
64,192,29,9.37500,30.72385,0.73942,6.20983,7.41904
64,992,29,9.37500,28.04887,0.53443,7.96376,10.09477
96,96,29,9.37500,27.38370,0.54690,8.39402,10.89821
128,1088,29,9.37500,28.56688,0.65128,7.86872,9.51034
160,160,29,9.37500,28.42490,0.53695,7.79176,9.66708
160,768,29,9.37500,39.63934,0.92773,2.13873,2.65811
288,1120,29,9.37500,28.56154,0.57310,7.40946,9.51619
288,1280,29,9.37500,24.33319,0.31525,11.89012,15.48392
448,736,29,9.37500,24.22349,0.54672,13.34539,15.68070
480,32,29,9.37500,28.41899,0.79588,8.56965,9.67366
512,384,29,9.37500,27.15926,0.54217,8.56453,11.18349
512,640,29,9.37500,20.83788,0.80957,21.95961,23.15506
640,1344,29,9.37500,25.25965,0.42542,10.17742,13.91738
704,768,29,9.37500,31.08333,0.65027,5.66333,7.11826
800,736,29,9.37500,26.84323,0.58702,8.01408,11.59789
832,512,29,9.37500,27.28855,0.54448,8.54911,11.01825
832,896,29,9.37500,24.17112,0.31866,11.98004,15.77554
896,640,29,9.37500,29.61381,0.54635,6.55848,8.43043
896,800,29,9.37500,29.66074,0.55676,6.49325,8.38500
928,160,29,9.37500,20.13462,0.27207,19.61964,25.10783
928,416,29,9.37500,23.16812,0.52576,11.24740,17.70656
992,800,29,9.37500,30.39813,0.69039,6.10463,7.70254
1024,1280,29,9.37500,24.03767,0.58104,14.15146,16.01978
1056,960,29,9.37500,26.88768,0.51832,9.14347,11.53868
1088,1312,29,9.37500,29.34299,0.60263,6.68553,8.69742
1184,1120,29,9.37500,31.21052,0.62451,5.50833,7.01478
1216,64,29,9.37500,23.41254,0.35948,13.06934,17.21524
1248,1120,29,9.37500,26.46807,0.54766,9.77115,12.10980
1312,1280,29,9.37500,25.09116,0.60755,9.55061,14.18999
1344,384,29,9.37500,22.41604,0.41439,13.66279,19.30803
1376,864,29,9.37500,25.89252,0.55862,10.03541,12.93940
1376,1376,29,9.37500,25.01718,0.44699,11.19710,14.31137
1408,640,29,9.37500,28.82324,0.80951,7.35053,9.23375
1408,1248,29,9.37500,27.63605,0.54637,7.61596,10.58614
1472,1344,29,9.37500,24.78410,0.60806,9.79963,14.70061
1536,352,29,9.37500,28.70659,0.63057,7.56930,9.35860
1568,1312,29,9.37500,26.49698,0.57670,7.75976,12.06955
1632,640,29,9.37500,28.35592,0.49389,7.32684,9.74416
32,192,31,3.12500,26.63333,0.75819,10.22360,11.88156
32,1152,31,3.12500,22.09387,0.53267,16.98445,20.03765
64,192,31,3.12500,31.67286,0.72521,5.26323,6.65116
64,992,31,3.12500,28.25359,0.56364,7.87171,9.85964
96,96,31,3.12500,29.12130,0.59821,7.00029,8.92227
128,1088,31,3.12500,27.26380,0.64320,9.06733,11.04969
160,160,31,3.12500,28.87902,0.57152,7.20673,9.17464
160,768,31,3.12500,34.50385,0.93037,4.27153,4.80118
288,1120,31,3.12500,29.13355,0.55921,6.86506,8.90969
288,1280,31,3.12500,23.55701,0.30813,12.98367,16.93128
448,736,31,3.12500,27.37543,0.58179,8.76336,10.90860
480,32,31,3.12500,31.95361,0.80480,5.12540,6.43961
512,384,31,3.12500,26.96442,0.47163,8.81806,11.43718
512,640,31,3.12500,22.30369,0.80388,18.16707,19.55941
640,1344,31,3.12500,22.56190,0.35516,13.48992,18.98652
704,768,31,3.12500,31.84745,0.63342,5.08562,6.51880
800,736,31,3.12500,25.51757,0.58937,9.41294,13.51020
832,512,31,3.12500,25.26585,0.50761,10.93842,13.90746
832,896,31,3.12500,24.31200,0.30875,11.75107,15.52174
896,640,31,3.12500,28.00983,0.49869,7.85118,10.14025
896,800,31,3.12500,28.02853,0.52019,7.91098,10.11845
928,160,31,3.12500,19.56194,0.13127,21.30536,26.81904
928,416,31,3.12500,24.27760,0.54693,9.58233,15.58333
992,800,31,3.12500,27.40422,0.69696,9.04002,10.87249
1024,1280,31,3.12500,24.66984,0.63181,13.22471,14.89526
1056,960,31,3.12500,24.93439,0.43062,11.71375,14.44843
1088,1312,31,3.12500,27.93345,0.59312,8.09116,10.22981
1184,1120,31,3.12500,30.44396,0.65251,6.13450,7.66200
1216,64,31,3.12500,22.36436,0.21474,14.83617,19.42325
1248,1120,31,3.12500,26.30520,0.43954,9.79323,12.33901
1312,1280,31,3.12500,24.08404,0.53544,10.75029,15.93448
1344,384,31,3.12500,22.64705,0.35316,13.91541,18.80130
1376,864,31,3.12500,26.22475,0.46560,9.44105,12.45383
1376,1376,31,3.12500,25.34224,0.40702,10.96262,13.78568
1408,640,31,3.12500,28.24029,0.67678,7.74604,9.87474
1408,1248,31,3.12500,27.29491,0.47889,7.87515,11.01019
1472,1344,31,3.12500,24.34365,0.52600,10.66121,15.46527
